Brand,Interface,Model,"Portable Memory (Pen, Memory Card...)",Processor,Material,Condition,Memory Speed,Screen Size,Operating System,Output Voltage,Battery Capacity,Storage Capacity,UPC,Color,Power Supply,Security,Memory,Graphics Card,Data Transfer Rate,Warranty,Category,Clock Speed,Compliant Standards,Cable Length,Input,Cache Memory,RAID Level,Processor Socket,Data Link Protocol,Battery Type,Processor Core,Average Seek Time,Rotational Speed,Weight,Generation,Product Type,Country of Origin,EAN,Memory Type,Reading Speed,Writing Speed,SKU,Resolution
fujifilm,,ST4000DM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,,,,5052217042958,,,,90YV0492-M0NA00,
fujitsu,,ST4000LM024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92oz / 111g,,,,8716065313413,,,,GT630-SL-1GD3-L,
fulleon,,ST5000LM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121 g/ 4.27 oz,,,,2002151507009,,,,D8A95AAE,
g data,,ST500LM030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65 oz / 75 g,,,,7330381882470,,,,L3P-00067,
g-cube,,ST500LX025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,7612392219934,,,,A110 Ab,
g-technology,,STDR2000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17 oz /175 g,,,,8716065274479,,,,LU.S030A.074,
g.skill,,SV300S37A/240G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88 oz /25 g,,,,4713392231094,,,,LU.S030A.076,
gainward,,WD20EZRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279g / 9.84oz,,,,4002888458962,,,,LU.S030A.199,
galaxy,,WD6002FZWX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407 g/ 14.35 oz,,,,8718226225085,,,,533918-B21,
gamdias,,WDBCTL0060HWT-NESN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.27oz / 433g,,,,0888182106204,,,,DG.E08EH.008,
garmin,,WDBGPU0010BWT-NESN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.27oz / 518g,,,,4047999361312,,,,9S6-A62311-002,
gateway,,WDBK3E0010PSL-WESN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0 lb/1.4 kg,,,,0757120854975,,,,HPN9S30EA-ABH,
gear4,,WDBK3E2560PSL-WESN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4 lb (0.18 kg),,,,4057185679602,,,,N9S30EA#ABH,
geil,,WDBK3E5120PSL-WESN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172 g / 6.07 oz,,,,0757120803225,,,,SSDM60I834,
gelid solutions,,D-Link: DIR-865L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12Kg,,,,5051964625766,,,,CM8064401807100,
gembird,,DIR-655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15 oz / 146 g,,,,7571208032252,,,,ARC-5060-12,
genius,,MWN-WAPR300N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16 oz / 118 g,,,,5705965704486,,,,RL2951,
giada,,R7000-100PAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 kg,,,,0757120825074,,,,NX.G54EH.012,
gigabyte,,R8000-100NAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 oz,,,,0815530017653,,,,0T00167,
gigaset,,RT-AC3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525 g/18.52 oz ,,,,5711045252013,,,,S846E2000M2,
goldtouch,,SBG6580-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59 oz / 45 g,,,,4016032337454,,,,V7J-00162,
goodram,,SBG6700AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49oz / 99g,,,,0766623319133,,,,BT4K81ET04,
gopro,,SBG6782-AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8 oz / 52.0 g,,,,4007249396075,,,,DELL-2TBMLC-NB62,
gp,,TL-R600VPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63oz / 154g,,,,0675901069458,,,,X4X18AT,
grandstream,,TL-WN725N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182/ 6.42oz,,,,0735858217644,,,,X4X18AT#ABD,
griffin,,TL-WR700N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1kg,,,,5032037011846,,,,TW149-MM,
guardo,,WNR2020-200PAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120g/4.23 oz,,,,5420027525648,,,,FB9715,
h-squared,,960-000764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 lbs.,,,,4713392317064,,,,ST4SR5HPM,
haicom,,DRW-24B1STA BLACK/BULK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748g,,,,5054484415541,,,,ST4SR5HPM-B,
hama,,SE-208DB/TSRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51Kg,,,,5711045259401,,,,TRIFC-APP-IPD1052017-GEOP,
handshoemouse,,646125-001 646125001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3 oz,,,,4014619477319,,,,SSDM64I328,
hawking,,920-003070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7 lbs / 0.3 kg,,,,7636490053795,,,,B-SFTP603,
heco,,BK6089BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5 kg,,,,4719072313135,,,,88Y6070,
henge docks,,G580-ISE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.l lb / .95 kg,,,,0190151728158,,,,UTP605YBOOTED,
hercules,,G580AM-ITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aer RGB120: 183g Aer RGB140: 213g,,,,4712505093215,,,,NT.Q01EE.010,
hgst,,K400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11Kg,,,,8717306637978,,,,IK5410,
highpoint,,MK120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13oz / 117g,,,,0760557789932,,,,Aspire R5-471T-53TQ,
himedia,,600 Silver Windowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 kg 0.53 lbs,,,,4712366963016,,,,NX.G7WEH.001,
hirschmann,,760T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930 g,,,,4718050609956,,,,75045057,
hoco,,CA-S340W-B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.06oz / 512g,,,,0883585009299,,,,PATCHKABEL CAT6 PIMF 15M,
homematic,,Carbide 100R Silent Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 grams,,,,0875912024051,,,,XSPCRAYFPRED,
honeywell,,Carbide 200R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055Kg,,,,0888182765395,,,,MMH9688/512,
hoodman,,Carbide 330R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.87oz / 365g,,,,0888182765432,,,,RL3905,
hori,,Carbide 400Q V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866 g,,,,0888182765456,,,,660600-B21,
hoya,,Carbide 600C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75 lb (3.97 kg),,,,0888182765562,,,,AUDLC3G,
hp,,Carbide 600Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9lbs,,,,0888182765623,,,,B-UTP6075S,
hq products,,Carbide 88R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.39 oz / 408g,,,,0888182765630,,,,2PCM-A7075897,
htc,,Carbide Air 240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.38 oz / 351 g,,,,0190017130118,,,,CT4G3S1067M,
huawei,,Carbide Air 540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5 oz / 156 g,,,,8719675001664,,,,GV-N1060IX-6GD,
humax,,Carbide SPEC-03 Red LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.95oz / 509g,,,,4002888321037,,,,CM8063501454002,
huntkey,,Carbide SPEC-ALPHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,0886111645299,,,,679106-B21,
hynix,,Core G3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.95 oz / 594 g,,,,0843591051910,,,,C31C222112E,
i-box,,Core P3 SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2 oz / 90 g,,,,5054484660897,,,,R18-04291,
i-tec,,Core P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74 inch / 106 g,,,,5054533660892,,,,90Y4597,
i12cover,,Core V1 Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15Kg,,,,5054629484340,,,,724573-L21,
ibaby,,Core W100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 lbs,,,,8435910519106,,,,RL1803,
ibm,,Core X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83oz / 137g,,,,0817048012120,,,,87506-11,
ic intracom,,Core X9 Snow Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5 lbs,,,,5711045252037,,,,708090-B21,
icarus,,Crystal 570x RGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 lb / 0.117 kg,,,,5056006110774,,,,2BS19EA#UUG,
iceberg interactive,,Crystal Series 460X RGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76oz / 135g,,,,4712900061598,,,,MF050ZM/A,
icidu,,Elite 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.31oz / 349g,,,,4712900061604,,,,RL9999,
iconbit,,NSK3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 oz / 8g,,,,4713392647260,,,,90NB0B03-M09720,
icy dock,,Obsidian 750D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.80,,,,0846143002569,,,,SLP-T400E,
igel,,Obsidian 900D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 lb (6.8 kg),,,,3126170106285,,,,V7UCHDMI-ALUGR-1EC,
ihave,,Obsidian Series 250D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1 lbs,,,,5704327969792,,,,90NB06N1-M00600,
ihealth,,RC-1200-KKN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38 lbs/1.08 kg,,,,6438158673274,,,,PBE-RAD-400,
iiyama,,RC-902XB-KKN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94 oz / 225 g,,,,7331990041753,,,,920-004550,
imation,,RC-922XM-KKN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.37 oz / 379 g,,,,4014619977604,,,,920-005704,
impactics,,RN31200-100NAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95oz / 112g,,,,4260113567159,,,,920-005788,
imperial,,RN31442D-100NAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54 lb/2.06 kg,,,,4713435793787,,,,90IG0060-BM3G20,
in win,,ReadyNAS 212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.06 lbs,,,,4713883098953,,,,RT-AC56U,
incipio,,SGC-2100-KWN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4 lb/2.0 kg,,,,4027927776685,,,,X3J19EA,
infocus,,SGC-2100-WWN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185 g,,,,7311271449348,,,,X3J19EA#ABD,
inline,,SIL-452-KKN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,0191376884308,,,,826989-B21,
inno,,Storm-P28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88oz / 25g,,,,0886227639793,,,,SFTP6A30,
inno3d,,Suppressor F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187 lbs | 85 kg (approx),,,,0886227639809,,,,K7X61AA,
innr,,ThinkCentre E73 Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170 g,,,,4053162744325,,,,K7X61AA#ABH,
integral,,ThinkCentre M700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,4716659639794,,,,0B47315,
intel,,VF6000BNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.08,,,,4716659639800,,,,AL13SEB900,
intellinet,,VM700A1W2N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,,,,5054484731191,,,,DPVGA15CM,
intenso,,VM700A3W2N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99 lb,,,,8862276398098,,,,MXUB3MOTG-32G,
inter-tech,,VSK2000-U3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9 kg,,,,4043619656165,,,,B-FTP605P,
intermec,,VSK3000-U3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27 lbs,,,,4713392324826,,,,SD-K04GJ(6,
intronics,,Vengeance C70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4g / 0.14oz,,,,8714909020923,,,,MUF-64BA/EU,
inventum,,13-ab016nr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.09 kg,,,,0883436329002,,,,PSF32GXPPUSB,
inverto,,14-ax010nr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.9 lbs,,,,4053162141865,,,,UTP610,
iogear,,15-ay191ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,8834363290028,,,,C0U20EA,
iomega,,8.84116E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35g,,,,8716065113495,,,,C0U20EA#ABH,
ion,,VivoBook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.86oz / 449.80g,,,,0192018389571,,,,TC21795SN Black,
iris,,C302CA-DHM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68 oz / 76 g,,,,8718722310865,,,,BX80605X3460,
iriver,,C55-B5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.77oz / 447g,,,,0722868404904,,,,593915-B21.NS,
iroad,,CB3-131-C3SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0kg,,,,5052461485938,,,,S2BP,
istorage,,CB3-431-C5XK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95 oz / 112 g,,,,5055410434902,,,,910-003336,
itec,,CB5-132T-C1LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8 lb/1.7 kg,,,,7228684049044,,,,910-003337,
itian,,CB5-571-C1DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35oz / 95g,,,,5711045086526,,,,PN 910-003336,
iwalk,,CR3-00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.24 oz / 347 g,,,,5711045796258,,,,MMH0840/2048,
j5create,,CR5-00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73KG,,,,0540206401596,,,,20JD0053MH,
jabra,,DV4-5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,0843591003797,,,,CC-9011015-WW,
jamara,,Inspiron 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76oz/50 g,,,,3610170544746,,,,ECMMD8GHB101,
jamo,,E200HA-UB02-GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6 lbs (3.0 kg),,,,4016138565140,,,,PROVGA15,
jawbone,,F556UA-AB32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053Kg,,,,5051964477969,,,,YIN093,
jays,,F556UA-AB54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01kg,,,,5052178497347,,,,NL773AA,
jb systems,,G580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.98 lbs,,,,5053460929973,,,,NL773AA#ABB,
jbl,,GL502VS-DB71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6 oz,,,,5053973169811,,,,NL773AT,
jetway,,I3558-5501BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07 lbs/3.66 kg (Exact weight depends on configuration),,,,5054531152993,,,,NL773AT#ABB,
joby,,J9M93UA#ABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 lb (0.086kg),,,,8435910037976,,,,P71-08473,
jumbo,,K3Y66UA#ABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8 oz (220 g),,,,9858595326439,,,,90MC01Y0-M0UAY0,
juniper,,K3Y87UA#ABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75 lbs.,,,,5711045594342,,,,OC Panel,
jupio,,K501UW-AB78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12lbs,,,,0808736806275,,,,3831109862636,
just in case,,K501UX-AH71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.80oz / 533g,,,,5056006111603,,,,HM.HK1EE.002,
jvc,,Latitude E6400 ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6 lb (272.2 g),,,,7636490014512,,,,SFTP715R,
kalypso,,MD101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.34oz / 435g,,,,4719331550127,,,,FB8701,
kalypso media,,MJVM2LL/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 lbs,,,,8713439152623,,,,T9B58AW#ABH,
kanex,,MQ2-00019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.96oz / 481g,,,,4713883008112,,,,S14A-000-13110,
kees,,Mini110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16g / 0.56oz,,,,4712900585667,,,,STBU1000200,
kef,,Mini210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67 lbs/1.21 kg,,,,0757120824411,,,,2PCM-IN3T4GNABKX,
kensington,,N5Y13UA#ABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 g / 0.32 oz,,,,0818313018045,,,,ECMMD16GM752L100,
keysonic,,NC1305222R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79 lb/3.53 kg,,,,4719331832193,,,,BX80602E5540,
kfa2,,P3W-00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98oz / 56g,,,,4961310139629,,,,70PF108000204,
kingston,,P4W-00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9oz,,,,5054484709879,,,,F40P3R400000008,
kitvision,,P5U66UT#ABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1 oz,,,,5705965919774,,,,N2800/12TBNLWD,
kng,,UX330UA-AH54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49 oz,,,,8716065274615,,,,P0E84EA,
koch media,,UX501VW-US71T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54 lb / 0.25 kg,,,,0888462008877,,,,P0E84EA#ABH,
kodak,,W2M53UA#ABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 lbs,,,,0888462008907,,,,920302-01L,
konami,,W2M75UA#ABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.93oz / 395g,,,,0888462009003,,,,90NB0DR1-M01270,
koolance,,X55lEB01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9 oz / 54 g,,,,4712900430349,,,,GL502VM-FY022T-BE,
koss,,XE500C13-K02US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19 lb/2.81 kg,,,,4043718157112,,,,A00022478,
krusell,,XPS 13 9343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,4007249539717,,,,A00022479,
kyocera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,,,,4713883008143,,,,A00022522,
könig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7 oz / 20 g,,,,6933138610299,,,,MR30H-HW,
lacie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656 lb (298 g)* vsafsuwbzfwc Weight of the product include both the weight of HDD and battery,,,,8716065275810,,,,NT.G8VEG.001,
lamptron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.76oz / 475g,,,,0888440327594,,,,THNSNJ200PCSZ,
lantronix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1kg,,,,6809340327594,,,,AK-330114-030-S,
laplink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67 oz / 104 g,,,,8884403275942,,,,B-UTP6075Y,
lc-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 oz / 83.3 g,,,,5711045280832,,,,A220A Duo,
ldnio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified by manufacturer,,,,0190198048318,,,,L36852-H2431-M101,
leef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28 oz / 178 g,,,,0888462374675,,,,662069-L21,
leica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.52 oz / 440 g,,,,0888462374767,,,,DT.B15EH.007,
lenco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03Kg,,,,0672042055722,,,,PV316G160LC9SK,
lenovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42 oz / 494 g,,,,5705965905357,,,,CAB-HD8-ASYNC=,
levelone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31lbs,,,,0672042116461,,,,S14A-000-24912,
levicom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 lb (0.2 kg),,,,5711045715709,,,,B-UTP650SOUT,
lexar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1 lbs,,,,5412810148370,,,,R18-03682,
lexmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4 lb (1.1kg),,,,0649528761965,,,,V-UTP603SVP,
lg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65 lbs,,,,8716065276305,,,,NX.G6SEH.002,
lian li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906 lb / 0.41 kg,,,,4719072452636,,,,90IG01Z0-BM3000,
liebherr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 lbs.,,,,8712581713485,,,,90IG01Z0-BU2000,
lifeproof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6 oz/385.6 g,,,,4053162108455,,,,RT-AC88U,
ligawo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9 grams (3.21 ounces) including batteries (battery weight may vary),,,,5051964790495,,,,DK-1531-200/R,
lindy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54 lb/698.53 g,,,,5704327912491,,,,90XB015P-BSL1K0,
linksys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 oz / 9g,,,,5711045967221,,,,90OK0LB1100250Y,
linkworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17 oz / 90 g,,,,5055190148785,,,,B-FTP5015R,
liquid image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9,,,,0649528765154,,,,2PCM-KTL-TP667/2G,
logic3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 grams,,,,5054230708569,,,,30021399,
logickeyboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10g / 0.35oz (Max.),,,,6495287651542,,,,20FA003HEU,
logilink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018kg,,,,3831109832028,,,,500044-B21,
logitech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39 lbs,,,,5099206039995,,,,7672-010R,
logon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.80 oz / 136 g,,,,5099206040007,,,,P67A-GD80 (B3),
lomography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747g / 26.35oz,,,,0711719100799,,,,603612-B21,
longshine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27kg 2.8lbs,,,,4719072450526,,,,KAB002-100,
lowepro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42 oz (12g),,,,0889955564085,,,,CT3KIT51272BB160B,
lsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49 pounds,,,,8716065255256,,,,SSP-350ST F3,
lumigon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30 lbs / 0.14 kg,,,,4002888472944,,,,NA-SYC1.blue,
m-cab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24kg,,,,0190151769489,,,,WN7-00599,
macally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6kg,,,,0190151568594,,,,RL1510,
mach xtreme technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56 oz / 16 g,,,,4260134118729,,,,1700-7772,
madcatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32 oz / 94 g,,,,0886111596959,,,,VLCP85220E20,
magix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98oz / 253g,,,,0886111596973,,,,KV3-00351,
magnat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91lb/1.32kg (Varies by configuration),,,,0886111596980,,,,KVR13R9D4/16,
manfrotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407g / 14.35oz,,,,0886111596997,,,,FDU64GBHPV220W-EF,
manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 oz / 7 g,,,,0886111597024,,,,8070R-100W,
marshall headphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 lbs,,,,5052415398956,,,,9MI-00023,
matrox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10kg,,,,5053460945645,,,,7459-4761,
maxcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280g (0.6 lbs),,,,8861115969734,,,,NT.G0MEH.003,
maxell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1 lb (8.2 kg),,,,5036694032442,,,,IB3600,
maxflash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34 oz / 123 g,,,,0757120833932,,,,RL7903,
maxtor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66 oz / 132 g,,,,5052178742850,,,,9F5-00003,
media-tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14 oz / 259 g,,,,7571208339320,,,,S26361-F3287-L200,
mediarange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19g / 0.67oz,,,,4008928500547,,,,B-UTP620G,
mediola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49 lb (0.22kg),,,,0763649055182,,,,AD2U800B2G6-S,
medion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384g / 13.55oz,,,,7636490053733,,,,88884083,
mele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.52 kg,,,,0191628379040,,,,MM462BLACK,
memorex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,0888793337691,,,,MONAA3,
